&SECTION1
CENTER=85            !<-Identification of Originating/Generating center (See commom code table C1 and C11 )  
SUBCENTER=0                           !<-Sub-center of generating center (See common code C12)
/
! Note: space    <- Missing value

!-------------------------
! Location identification 
!-------------------------
&STATION_ID
LATITUDE=46.4598
LONGITUDE=-56.1075
WIGOS=0-20000-0-71805 ! SAINT-PIERRE
WMO=71805
HTEMP=2                  ! Hight of temperature sensor
HA= 21                       ! 007030-HEIGHT OF STATION GROUND ABOVE MEAN SEA LEVEL
SMC_TEMP=             ! 008095-SITING AND MEASUREMENT QUALITY CLASSFICATION FOR TEMPERATURE
SMC_PREC=             ! 008096-SITING AND MEASUREMENT QUALITY CLASSIFICATION FOR PRECIPITATION
METHOD_TM=3        ! 008094-Method used to calculate the average daily temperature
TIME_OFFSET=-240 ! Time difference in minutes:  Local Meteorological Time Zone - UTC (LMTZ-UTC)
                                  ! Use 0 in case of the use of UTC values
/ 

!----------------------------------------------------------------------------------
! Note: In this text file, Each parameter is identified by the followed Acronyms:
! parameter = name, unit, scale
!  rr = Total Acumulate Precipitation, Kg m-2 (= mm), 1
!  fsd = Fresh snow depth, m, 2
!  tsd= Total snow depth, m, 2
!  tn = Minimum temperature, K, 2
!  tx = Maximum temperature, K, 2
!  tm = Mean temperature, K, 2
!  The quality flag for each respective parameter above are identified by:
!  qrr, qfsd, qtsd,qtn,qtx,qtm
!
!  The value of quality flag are:
!   0 = Data checked and declared good;
!   1 = Data checked and declared suspect;
!   2 = Data checked and declared aggregated;
!   3 = Data checked and declared out of instrument range;
!   4 = Data checked, declared aggregated, and out of instrument range;
!   5 = Parameter is not measured at the station;
!   6 = Daily value not provided;
!   7 = Data unchecked,
!   8-254 = Reserved;
!---------------------------------------------------------------------------------
&DATA_SECTION
!rdate= Reference date and time in LMTZ / Attribution Day
!intertval = time interval for next variable
!date;interval;tsd;qtsd;interval;rr;qrr;interval;fsd;qfsd;interval;tx;qtx;interval;tn;qtn;interval;tm;qtm 

20220420;20220420T0601;0;7;20220420T0601-20220422T0600;7.7;0;20220420T0601-20220422T0600;0;7;20220420T0601-20220422T0600;278.85;0;20220419T1801-20220420T1800;274.05;0;20220420T0001-20220421T0000;276.25;0
20220421;20220421T0601;0;7;20220421T0601-20220422T0600;0.0;0;20220421T0601-20220422T0600;0;7;20220421T0601-20220422T0600;280.35;0;20220420T1801-20220422T1800;274.65;0;20220421T0001-20220422T0000;276.75;0
20220422;20220422T0601;0;7;20220422T0601-20220423T0600;4.4;0;20220422T0601-20220423T0600;0;7;20220422T0601-20220423T0600;278.75;0;20220421T1801-20220422T1800;272.85;0;20220422T0001-20220423T0000;276.05;0
20220423;20220423T0601;0;7;20220423T0601-20220424T0600;5.2;0;20220423T0601-20220424T0600;0;7;20220423T0601-20220424T0600;281.65;0;20220422T1801-20220423T1800;275.95;0;20220423T0001-20220424T0000;277.55;0
20220424;20220424T0601;0;7;20220424T0601-20220425T0600;0.0;0;20220424T0601-20220425T0600;1;7;20220424T0601-20220425T0600;279.55;0;20220423T1801-20220424T1800;273.75;0;20220424T0001-20220425T0000;275.45;0
20220425;20220425T0601;0;7;20220425T0601-20220426T0600;0.0;0;20220425T0601-20220426T0600;0;7;20220425T0601-20220426T0600;284.85;0;20220424T1801-20220425T1800;274.75;0;20220425T0001-20220426T0000;279.65;0
20220426;20220426T0601;0;7;20220426T0601-20220427T0600;0.0;0;20220426T0601-20220427T0600;0;7;20220426T0601-20220427T0600;282.25;0;20220425T1801-20220426T1800;277.35;0;20220426T0001-20220427T0000;279.15;0
20220427;20220427T0601;0;7;20220427T0601-20220428T0600;0.0;0;20220427T0601-20220428T0600;0;7;20220427T0601-20220428T0600;280.35;0;20220426T1801-20220427T1800;276.15;0;20220427T0001-20220428T0000;277.85;0
20220428;20220428T0601;0;7;20220428T0601-20220429T0600;0.8;0;20220428T0601-20220429T0600;0;7;20220428T0601-20220429T0600;277.75;0;20220427T1801-20220428T1800;275.95;0;20220428T0001-20220429T0000;276.65;0
20220429;20220429T0601;0;7;20220429T0601-20220430T0600;0.0;0;20220429T0601-20220430T0600;0;7;20220429T0601-20220430T0600;279.85;0;20220428T1801-20220429T1800;275.75;0;20220429T0001-20220430T0000;277.35;0
20220430;20220430T0601;0;7;20220430T0601-20220501T0600;0.0;0;20220430T0601-20220531T0600;0;7;20220430T0601-20220501T0600;282.95;0;20220429T1801-20220430T1800;276.95;0;20220430T0001-20220501T0000;278.55;0
